Comment,Designator,Footprint,LCSC Part #
0R,R9,R0603,C21189
1K,R2 R4 R7 R8 R16 R17 R18 R19,R0603,C22843
1K96,R6 R11,R0603,C227664
1N4148W-TP,D3 D4,SOD3716X135N,C81598
1nF,C10,C0603K,C1588
4K7,R20 R21 R22 R23,R0603,C23162
5.6uH,L1,WE-PD_1050P,C497896
8.2nF,C9,C0603K,C27920
10K2,R12 R15,R0603,C227544
10pF,C11,C0603K,0603,C1634
10uF 25V,C6 C7 C12,C1210K,C13585
24V 1A,F1 F2,R1206,C910830
47  ÂµF ,C13 C15,WCAP-ASLL_5X5.5(DXL),C336270
60K4,R10,R0603,C165742
100K,R3 R5,R0603,C25803
100nF,C3 C4 C5 C8 C14 C16,C0603K,C14663
120R,R1,R0603,C22787
CAT24C32WI-GT3,IC6,SOIC127P600X175-8N,C81193
CSTNE8M00GH5C000R0,Y1,CSTNE8M00GH5C000R0,C341525
DIODE,D2,DIOM7959X625N,C511855
DMG3402L-7,Q1 Q2,SOT96P240X110-3N,C96614
ECMF02-2AMX6,IC4,SON50P150X170X55-6N,C2651144
MCP2515T-I_SO,IC3,SOIC127P1030X265-18N,C153782
MCP2562T-E_SN,IC2,SOIC127P600X175-8N,C6952
RED,D1 D5 D6,WL-SMCC_0603_R_Y_V,C2286
TPS54531DDAR,IC5,SOIC127P600X170-9N,C50605
